Code Case Number,Address,Code Case Opened Date,Code Case Type,Code Case Closed Date,Code Case District,Code Case Status,Code Case Description
OPM-005240-2019,"1303 W WORLEY ST
COLUMBIA, MO 65203",9/25/2018,ONS - Property Maintenance,2/5/2021,First,Closed,HOUSE IN DISREPAIR
OWD-000073-2018,"2110 MCKEE ST
COLUMBIA, MO 65202",10/8/2018,ONS - Landscape Management,10/17/2018,Third,Resolved,DARLENE WEFENSTETTE CALLED IN AND REPORT TALL GRASS NEXT TO THE GARAGE
OWD-000090-2018,"100 E SEXTON RD
COLUMBIA, MO 65203",10/8/2018,ONS - Landscape Management,10/17/2018,First,Resolved,I OBSERVED WEEDS OVER 12 INCHES TALL ON THE PROPERTY 10-8-18
OZPARK-000072-2018,"223 N NINTH ST
COLUMBIA, MO 65201",10/8/2018,ONS -  Residential Parking Violation,10/12/2018,First,Closed,Parking on unapproved surface
OWD-000091-2018,"3705 SCOTTSON WAY
COLUMBIA, MO 65203",10/8/2018,ONS - Landscape Management,10/16/2018,Fifth,Resolved,I OBSERVED WEEDS OVER 12 INCHES HIGHER ALONG FORUM
ORC-000189-2018,"413 HITT ST Unit: APT 103
COLUMBIA, MO 65201",10/9/2018,ONS - Rental Complaint Violation,11/26/2018,First,Resolved,
ORC-000089-2018,"302 W WORLEY ST
COLUMBIA, MO 65203",10/9/2018,ONS - Rental Complaint Violation,10/15/2018,First,Resolved,Sewage back up in basement
OWD-000094-2018,"513 W SEXTON RD
COLUMBIA, MO 65203",10/9/2018,ONS - Landscape Management,10/19/2018,First,Resolved,DURING A DRIVE BY I OBSERVED WEEDS OVER 12 INCHES
OWD-000116-2018,"1403 ROSS ST
COLUMBIA, MO 65201",10/9/2018,ONS - Landscape Management,11/5/2018,Sixth,Resolved,TALL GRASS/WEEDS
OZPARK-000106-2018,"207 N WILLIAM ST
COLUMBIA, MO 65201",10/10/2018,ONS -  Residential Parking Violation,5/7/2021,Third,Closed,Non approved parking surface
OPUNS-000102-2018,"1504 JUNE LN
COLUMBIA, MO 65202",10/10/2018,ONS - Public Nuisance Structure,12/8/2020,Third,Resolved,"Inspection on 10-09-2018 revealed the following:
1. Construction of a deck at the rear has commenced without a permit. The deck is poorly constructed and is in a deteriorated condition.

2. Mechanical equipment has been installed without permits and has not been inspected for code compliance.

3. Electrical equipment and conductors are being installed without permit and are left incomplete and dangerously accessible to occupants.

4. Overflowed sewage is present in the basement. It appears a grinder pump and multiple plumbing fixtures have been installed without permits.

5. There is a very foul odor of sewage and mold in the basement.

6. There is trash and debris both inside and outside."
OWD-000097-2018,"1310 PEARL AVE
COLUMBIA, MO 65203",10/10/2018,ONS - Landscape Management,10/18/2018,First,Resolved,WEEDS AND GRASS OVER TWELVE INCHES
OWD-000103-2018,"7 E SEXTON RD
COLUMBIA, MO 65203",10/10/2018,ONS - Landscape Management,10/26/2018,First,Resolved,I DROVE BY & OBSERVED HIGH WEEDS/GRASS OVER 12 INCHES TALL
OWD-000113-2018,"1401 WINDSOR ST
COLUMBIA, MO 65201",10/11/2018,ONS - Landscape Management,10/23/2018,Third,Resolved,tall grass
OWD-000110-2018,"2501 NELWOOD DR
COLUMBIA, MO 65202",10/11/2018,ONS - Landscape Management,10/26/2018,Third,Resolved,TALLS WEEDS/GRASS
OWD-000109-2018,"1509 BOUCHELLE AVE
COLUMBIA, MO 65201",10/11/2018,ONS - Landscape Management,10/23/2018,Sixth,Resolved,WEEDS AND GRASS OVER 12 INCHES
OWD-000117-2018,,10/11/2018,ONS - Landscape Management,10/11/2018,Unknown,Voided,10-5-18  DARLENE WEFENSTETTE REPORTED THAT THERE ARE TALL WEEDS ON THE NORTH SIDE OF THE INTERSECTION OF RICE AND BOYD.
OWD-000114-2018,"1801 NELWOOD DR
COLUMBIA, MO 65202",10/11/2018,ONS - Landscape Management,11/7/2018,Third,Resolved,"WEEDS AND GRASS OVER TWELVE INCHES TALL, SOUTH SIDE OF DRIVE"
ORC-000147-2018,"1501 ROSEMARY LN
COLUMBIA, MO 65201",10/12/2018,ONS - Rental Complaint Violation,11/20/2018,Sixth,Resolved,"tenant complaint - call from tenant concerned about the property, particularly about the foundation and code in general."
